tweet_id,tweet_url,created_at,full_text,tweet_length,source,retweet_count,favorite_count,images_urls,predicted_breed,algorithm_confidence,rating_numerator,dog_name,dog_stage,breed_url,breed_image,breed_group,weight,height,life_expectancy,breed_temperament,pdf_breed_standard,akc_breed_popularity
892177421306343426,https://t.co/0Xxu71qeIV,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",138,Twitter for iPhone,5795,31609,['https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg'],chihuahua,0.323581,13,Tilly,,https://www.akc.org/dog-breeds/chihuahua/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234746/Chihuahua-Care.jpg,Toy Group,not exceeding 6 pounds,5-8 inches,15.0,"['Charming', ' Graceful', ' Sassy']",http://images.akc.org/pdf/breeds/standards/Chihuahua.pdf,33
891815181378084864,https://t.co/wUnZnhtVJB,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,121,Twitter for iPhone,3835,23812,['https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg'],chihuahua,0.716012,12,Archie,,https://www.akc.org/dog-breeds/chihuahua/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234746/Chihuahua-Care.jpg,Toy Group,not exceeding 6 pounds,5-8 inches,15.0,"['Charming', ' Graceful', ' Sassy']",http://images.akc.org/pdf/breeds/standards/Chihuahua.pdf,33
891689557279858688,https://t.co/tD36da7qLQ,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,79,Twitter for iPhone,7993,40024,['https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg'],labrador_retriever,0.168086,13,Darla,,https://www.akc.org/dog-breeds/labrador-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231434/Labrador-Retriever-Care.jpg,Sporting Group,"65-80 pounds (male), 55-70 pounds (female)","22.5-24.5 inches (male), 21.5-23.5 inches (female)",11.0,"['Friendly', ' Active', ' Outgoing']",http://images.akc.org/pdf/breeds/standards/LabradorRetriever.pdf,1
891327558926688256,https://t.co/AtUZn91f7f,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",138,Twitter for iPhone,8626,38213,"['https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg', 'https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg']",basset_hound,0.555712,12,Franklin,,https://www.akc.org/dog-breeds/basset-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001119/Basset-Hound-Care.jpg,Hound Group,40-65 pounds,up to 15 inches,12.5,"['Charming', ' Patient', ' Low-Key']",http://images.akc.org/pdf/breeds/standards/BassetHound.pdf,39
891087950875897856,https://t.co/kQ04fDDRmh,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,138,Twitter for iPhone,2878,19226,['https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg'],chesapeake_bay_retriever,0.425595,13,,,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31153346/Chesapeake-Bay-Retriever-head-protrait.jpg,Sporting Group,"65-80 pounds (male), 55-70 pounds (female)","23-26 inches (male), 21-24 inches (female)",11.5,"['Affectionate', ' Bright', ' Sensitive']",http://images.akc.org/pdf/breeds/standards/ChesapeakeBayRetriever.pdf,45
890971913173991426,https://t.co/tVJBRMnhxl,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H",140,Twitter for iPhone,1893,11209,['https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg'],appenzeller_sennenhund,0.34170300000000003,13,Jax,,https://www.akc.org/dog-breeds/appenzeller-sennenhund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07194700/AdobeStock_69036312.jpg,Foundation Stock Service,48-70 pounds,19-22 inches,13.5,"['Agile', ' Versatile', ' Lively']",http://www.fci.be/Nomenclature/Standards/046g02-en.pdf,196
890729181411237888,https://t.co/v0nONBcwxq,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,118,Twitter for iPhone,17464,61883,"['https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg', 'https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg']",pomeranian,0.566142,13,,,https://www.akc.org/dog-breeds/pomeranian/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225653/Pomeranian-Care.jpg,Toy Group,3-7 pounds,6-7 inches,14.0,"['Inquisitive', ' Bold', ' Lively']",http://images.akc.org/pdf/breeds/standards/Pomeranian.pdf,23
890609185150312448,https://t.co/9TwLuAGH0b,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,122,Twitter for iPhone,3968,26474,['https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg'],irish_terrier,0.487574,13,Zoey,,https://www.akc.org/dog-breeds/irish-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27171856/Irish-Terrier.jpg,Terrier Group,"27 pounds (male), 25 pounds (female)",18 inches,14.0,"['Bold', ' Dashing', ' Tenderhearted']",http://images.akc.org/pdf/breeds/standards/IrishTerrier.pdf,116
890240255349198849,https://t.co/t1bfwz5S2A,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,133,Twitter for iPhone,6796,30294,['https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg'],pembroke_welsh_corgi,0.511319,14,Cassie,doggo,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25230209/Pembroke-Welsh-Care.jpg,Herding Group,"up to 30 pounds (male), up to 28 pounds (female)",10-12 inches,12.5,"['Affectionate', ' Smart', ' Alert']",http://images.akc.org/pdf/breeds/standards/PembrokeWelshCorgi.pdf,13
890006608113172480,https://t.co/dVPW0B0Mme,2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,130,Twitter for iPhone,6783,29147,"['https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg', 'https://pbs.twimg.com/media/DFnwSY5XYAEwtc5.jpg']",samoyed,0.957979,13,Koda,,https://www.akc.org/dog-breeds/samoyed/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224750/Samoyed-Care.jpg,Working Group,"45-65 pounds (male), 35-50 pounds (female)","21-23.5 inches (male), 19-21 inches (female)",13.0,"['Adaptable', ' Friendly', ' Gentle']",http://images.akc.org/pdf/breeds/standards/Samoyed.pdf,59
